Country,Emergency,Police,Ambulance,Fire,Call Codes
Singapore,112 on foreign mobiles,999,995,995,65
Slovakia,112,158,155,150,421
Slovenia,112,113,,,386
Solomon Islands,999,,,,677
Somalia,,888,999,555,252
South Africa,112 on mobiles,10111,10177,10111,27
South Georgia & South Sandwich Islands,999,,,,500
South Sudan,999,,,,211
Spain,112,,,,34
Sri Lanka,,"119, 118",110,111,94
Sudan,999,,,,249
Suriname,115,,,,597
Sweden,112,,,,46
Switzerland,112,117,144,118,41
Syria,,112,110,113,963
"Taiwan, Republic of China",112 on mobiles,110,119,119,886
Tajikistan,112 on mobiles,102,103,101,992
Tanzania,112,,,,255
Thailand,,191,1669,199,66
Togo,,117 or 161,8200,118,228
Tokelau,,,,,690
Tonga,911,922,933,999,676
Trinidad & Tobago,,999,990,990,1868
Tunisia,,197,190,198,216
Turkey,112,,,,90
Turkmenistan,112,102,103,101,993
Turks & Caicos Islands,911 or 999,,,,1649
Tuvalu,,911,,,688
Uganda,"199, 112 mobiles","199, 112 mobiles",,,256
Ukraine,112,,,,380
United Arab Emirates,,"999, 112","999, 998",997,971
"United Kingdom (UK; England, Scotland, Wales, Northern Island)",112 0r 999,999 or 112,999,999,44
United States of America,911,,,,1
Uruguay,911,,,,598
Uzbekistan,,102,103,101,998
Vanuatu,112,,,,678
Vatican City / Holy See,,113,118,115,39/379
Venezuela,171,,,,58
Vietnam,,113,115,114,84
United States Virgin Islands,911,,,,1340
Wallis & Futuna,,18,15,17,681
Western Sahara,150,,,,212
Yemen,199,,,,967
Zambia,112,999,993,991,260
Zimbabwe,999,995,994,993,264
